Ca,Tr,Ca0,Q
0.622121606,506.9989522,4.921845716,-58.87866388
0.567242662,494.1850376,3.353351741,78.20309623
0.543895797,504.4178716,2.979018767,118.2801754
0.541256785,520.6926705,5.54316485,14.42401247
0.644994518,521.6315228,1.766753852,-25.11350488
0.614977525,515.5460218,5.840172529,136.3324605
0.680168008,536.3833366,1.015566619,-101.4576173
0.499249487,516.4727911,5.68031311,92.71705462
0.477418306,527.9038018,1.121410002,91.50499335
0.429236592,537.7616124,6.007126201,52.28369118
0.518195463,544.046016,2.879484915,-15.4053722
0.497082844,538.8467785,3.064352975,94.57391443
0.387367868,550.3571288,2.798254958,-49.28473276
0.376084204,537.4324676,7.047036001,116.6631615
0.523774202,554.5900182,7.280718878,85.43027162
0.432510128,571.635122,1.108409323,-113.635967
0.422593667,551.6946726,4.399574527,98.93994428
0.33551068,561.0331186,6.689385048,38.01352328
0.489212412,566.9125688,7.190632158,-96.69845184
0.477372836,553.6249219,2.05106651,-46.529124
0.478187454,544.0244552,2.297634446,-52.16527298
0.348566134,528.2404192,1.329118614,-34.62774073
0.425076479,515.0793489,0.708417977,10.49490811
0.41079546,510.1809623,7.120798063,-15.24300315
0.660371073,500.593592,4.86907271,31.05898821
0.645419596,503.7756136,7.033654177,65.1441866
0.775942293,515.1049712,6.273746497,-45.59738979
0.721393976,511.4400396,6.852252525,-87.44188639
0.801478942,501.4577718,3.355875882,65.95888678
0.786668306,512.3163692,2.834194672,107.2595173
0.592137919,530.2132543,6.524591035,-93.02275178
0.575611832,515.9540949,2.115221592,-124.3236548
1,400,2.053952198,102.9812044
1.198695043,413.3284303,1.947034087,116.2808171
1.105371858,427.9087413,3.918878322,31.0399644
1.120564956,430.9955541,5.861354995,5.116108152
1.279855793,428.1736254,2.577603511,-86.74411009
1.393941896,413.7168472,1.065188881,66.23342091
1.311539372,420.2945247,3.58916456,-94.91393323
1.332371279,402.6565938,6.659559218,-62.75376558
1.524555319,390.4442971,3.399645134,-56.64446766
1.576447333,379.0067461,4.901515362,22.17717127
1.681642713,379.2691112,4.699504376,-65.05025033
1.890037947,366.9419327,2.492801164,-68.44772609
1.850906629,353.7562116,2.792947634,-98.84325773
1.904138289,336.8794891,1.659290028,128.8696017
1.971390387,355.9028435,7.221587007,-86.55149148
2.178672751,339.4856383,0.670145931,-82.06791035
